,TEXT_ID,PAIR_ID,CONTEXT,STIMULUS,QUESTION,INTERPRETATION1,INTERPRETATION2,TRIGGER,TYPE,INTENDED
17,17,utterance,"Smith was in a garden. Smith said,","""The gardener caused the plants to be tended.""",What does the speaker intend to convey?,The gardener tended the plants directly.,The gardener tended the plants indirectly.,causal,Manner,INTERPRETATION2
18,18,alternative,"Jason was in a gym. Jason said,","""The coach trained the athlete.""",What does the speaker intend to convey?,The coach trained the athlete directly.,The coach trained the athlete indirectly.,causal,Manner,INTERPRETATION1
19,19,utterance,"Jason was in a gym. Jason said,","""The coach caused the athlete to be trained.""",What does the speaker intend to convey?,The coach trained the athlete directly.,The coach trained the athlete indirectly.,causal,Manner,INTERPRETATION2
20,20,alternative,"John was outside. John said,","""The storm destroyed the city.""",What does the speaker intend to convey?,The storm destroyed the city directly.,The storm destroyed the city indirectly.,causal,Manner,INTERPRETATION1
21,21,utterance,"John was outside. John said,","""The storm caused the city to be destroyed.""",What does the speaker intend to convey?,The storm destroyed the city directly.,The storm destroyed the city indirectly.,causal,Manner,INTERPRETATION2
22,22,alternative,"John was in a resturant. John said,","""The chef prepared the meal.""",What does the speaker intend to convey?,The chef prepared the meal directly.,The chef prepared the meal indirectly.,causal,Manner,INTERPRETATION1
23,23,utterance,"John was in a resturant. John said,","""The chef caused the meal to be made ready.""",What does the speaker intend to convey?,The chef prepared the meal directly.,The chef prepared the meal indirectly.,causal,Manner,INTERPRETATION2
24,24,alternative,"Alan was in a hospital. Alan said,","""The doctor cured the patient.""",What does the speaker intend to convey?,The doctor cured the patient directly.,The doctor cured the patient indirectly.,causal,Manner,INTERPRETATION1
25,25,utterance,"Alan was in a hospital. Alan said,","""The doctor caused the patient to be healed.""",What does the speaker intend to convey?,The doctor cured the patient directly.,The doctor cured the patient indirectly.,causal,Manner,INTERPRETATION2
26,26,alternative,"David was in school. David said,","""The teacher educated the students.""",What does the speaker intend to convey?,The teacher educated the students directly.,The teacher educated the students indirectly.,causal,Manner,INTERPRETATION1
27,27,utterance,"David was in school. David said,","""The teacher caused the students to be instructed.""",What does the speaker intend to convey?,The teacher educated the students directly.,The teacher educated the students indirectly.,causal,Manner,INTERPRETATION2
28,28,alternative,"Thomas was in a museum. Thomas said,","""The artist painted the portrait.""",What does the speaker intend to convey?,The artist painted the portrait directly.,The artist painted the portrait indirectly.,causal,Manner,INTERPRETATION1
29,29,utterance,"Thomas was in a museum. Thomas said,","""The artist caused the portrait to be depicted.""",What does the speaker intend to convey?,The artist painted the portrait directly.,The artist painted the portrait indirectly.,causal,Manner,INTERPRETATION2
30,30,alternative,"Mary was in a bookstore. Mary said,","""The writer composed the book.""",What does the speaker intend to convey?,The writer composed the book directly.,The writer composed the book indirectly.,causal,Manner,INTERPRETATION1
31,31,utterance,"Mary was in a bookstore. Mary said,","""The writer caused the book to be created.""",What does the speaker intend to convey?,The writer composed the book directly.,The writer composed the book indirectly.,causal,Manner,INTERPRETATION2
32,32,alternative,"Alan was in a concert. Alan said,","""The musician performed the song.""",What does the speaker intend to convey?,The musician performed the song directly.,The musician performed the song indirectly.,causal,Manner,INTERPRETATION1
33,33,utterance,"Alan was in a concert. Alan said,","""The musician caused the song to be played.""",What does the speaker intend to convey?,The musician performed the song directly.,The musician performed the song indirectly.,causal,Manner,INTERPRETATION2
34,34,alternative,"There was a new bridge. Mary said,","""The engineer designed the bridge.""",What does the speaker intend to convey?,The engineer designed the bridge directly.,The engineer designed the bridge indirectly.,causal,Manner,INTERPRETATION1
35,35,utterance,"There was a new bridge. Mary said,","""The engineer caused the bridge to be planned.""",What does the speaker intend to convey?,The engineer designed the bridge directly.,The engineer designed the bridge indirectly.,causal,Manner,INTERPRETATION2
36,36,alternative,"Seeing the corn fields, John said,","""The farmer harvested the crops.""",What does the speaker intend to convey?,The farmer harvested the crops directly.,The farmer harvested the crops indirectly.,causal,Manner,INTERPRETATION1
37,37,utterance,"Seeing the corn fields, John said,","""The farmer caused the crops to be gathered.""",What does the speaker intend to convey?,The farmer harvested the crops directly.,The farmer harvested the crops indirectly.,causal,Manner,INTERPRETATION2
38,38,alternative,"Jason was in a gym. Jason said,","""The coach trained the athlete.""",What does the speaker intend to convey?,The coach trained the athlete directly.,The coach trained the athlete indirectly.,causal,Manner,INTERPRETATION1
39,39,utterance,"Jason was in a gym. Jason said,","""The coach caused the athlete to be prepared.""",What does the speaker intend to convey?,The coach trained the athlete directly.,The coach trained the athlete indirectly.,causal,Manner,INTERPRETATION2
40,40,alternative,"Alex was a student in the school. Alex said,","""The teacher educated the student.""",What does the speaker intend to convey?,The teacher educated the student directly.,The teacher educated the student indirectly.,causal,Manner,INTERPRETATION1
41,41,utterance,"Alex was a student in the school. Alex said,","""The teacher caused the student to be informed.""",What does the speaker intend to convey?,The teacher educated the student directly.,The teacher educated the student indirectly.,causal,Manner,INTERPRETATION2
42,42,alternative,"Smith was in a garden. Smith said,","""The gardener nurtured the plants.""",What does the speaker intend to convey?,The gardener nurtured the plants directly.,The gardener nurtured the plants indirectly.,causal,Manner,INTERPRETATION1
43,43,utterance,"Smith was in a garden. Smith said,","""The gardener caused the plants to be cared for.""",What does the speaker intend to convey?,The gardener nurtured the plants directly.,The gardener nurtured the plants indirectly.,causal,Manner,INTERPRETATION2
44,44,alternative,"Alan was in a hospital. Alan said,","""The scientist discovered the cure.""",What does the speaker intend to convey?,The scientist discovered the cure directly.,The scientist discovered the cure indirectly.,causal,Manner,INTERPRETATION1
45,45,utterance,"Alan was in a hospital. Alan said,","""The scientist caused the cure to be found.""",What does the speaker intend to convey?,The scientist discovered the cure directly.,The scientist discovered the cure indirectly.,causal,Manner,INTERPRETATION2
46,46,alternative,"Jean was in a car shop. Jean said,","""The mechanic repaired the car.""",What does the speaker intend to convey?,The mechanic repaired the car directly.,The mechanic repaired the car indirectly.,causal,Manner,INTERPRETATION1
47,47,utterance,"Jean was in a car shop. Jean said,","""The mechanic caused the car to be fixed.""",What does the speaker intend to convey?,The mechanic repaired the car directly.,The mechanic repaired the car indirectly.,causal,Manner,INTERPRETATION2
48,48,alternative,"Thomas was in a museum. Thomas said,","""The artist created the painting.""",What does the speaker intend to convey?,The artist created the painting directly.,The artist created the painting indirectly.,causal,Manner,INTERPRETATION1
49,49,utterance,"Thomas was in a museum. Thomas said,","""The artist caused the painting to be made.""",What does the speaker intend to convey?,The artist created the painting directly.,The artist created the painting indirectly.,causal,Manner,INTERPRETATION2
50,50,alternative,"Jason was in a gym. Jason said,","""The athlete trained for the race.""",What does the speaker intend to convey?,The athlete trained for the race directly.,The athlete trained for the race indirectly.,causal,Manner,INTERPRETATION1
51,51,utterance,"Jason was in a gym. Jason said,","""The athlete caused themselves to be prepared for the race.""",What does the speaker intend to convey?,The athlete trained for the race directly.,The athlete trained for the race indirectly.,causal,Manner,INTERPRETATION2
52,52,alternative,"Alan was in a hospital. Alan said,","""The therapist treated the patient.""",What does the speaker intend to convey?,The therapist treated the patient directly.,The therapist treated the patient indirectly.,causal,Manner,INTERPRETATION1
53,53,utterance,"Alan was in a hospital. Alan said,","""The therapist caused the patient to receive therapy.""",What does the speaker intend to convey?,The therapist treated the patient directly.,The therapist treated the patient indirectly.,causal,Manner,INTERPRETATION2
54,54,alternative,"Alan was in a concert. Alan said,","""The musician composed the music.""",What does the speaker intend to convey?,The musician composed the music directly.,The musician composed the music indirectly.,causal,Manner,INTERPRETATION1
55,55,utterance,"Alan was in a concert. Alan said,","""The musician caused the music to be created.""",What does the speaker intend to convey?,The musician composed the music directly.,The musician composed the music indirectly.,causal,Manner,INTERPRETATION2
56,56,alternative,"John was in a resturant. John said,","""The chef cooked the dish.""",What does the speaker intend to convey?,The chef cooked the dish directly.,The chef cooked the dish indirectly.,causal,Manner,INTERPRETATION1
57,57,utterance,"John was in a resturant. John said,","""The chef caused the dish to be prepared.""",What does the speaker intend to convey?,The chef cooked the dish directly.,The chef cooked the dish indirectly.,causal,Manner,INTERPRETATION2
58,58,alternative,"John was outside. John said,","""The builder constructed the building.""",What does the speaker intend to convey?,The builder constructed the building directly.,The builder constructed the building indirectly.,causal,Manner,INTERPRETATION1
59,59,utterance,"John was outside. John said,","""The builder caused the building to be made.""",What does the speaker intend to convey?,The builder constructed the building directly.,The builder constructed the building indirectly.,causal,Manner,INTERPRETATION2
60,60,alternative,"John was outside. John said,","""The firefighter extinguished the fire.""",What does the speaker intend to convey?,The firefighter extinguished the fire directly.,The firefighter extinguished the fire indirectly.,causal,Manner,INTERPRETATION1
61,61,utterance,"John was outside. John said,","""The firefighter caused the fire to be put out.""",What does the speaker intend to convey?,The firefighter extinguished the fire directly.,The firefighter extinguished the fire indirectly.,causal,Manner,INTERPRETATION2
62,62,alternative,"Alex was in a law firm. Alex said,","""The lawyer defended the client.""",What does the speaker intend to convey?,The lawyer defended the client directly.,The lawyer defended the client indirectly.,causal,Manner,INTERPRETATION1
63,63,utterance,"Alex was in a law firm. Alex said,","""The lawyer caused the client to receive defense.""",What does the speaker intend to convey?,The lawyer defended the client directly.,The lawyer defended the client indirectly.,causal,Manner,INTERPRETATION2
64,64,alternative,"David was in school. David said,","""The teacher graded the papers.""",What does the speaker intend to convey?,The teacher graded the papers directly.,The teacher graded the papers indirectly.,causal,Manner,INTERPRETATION1
65,65,utterance,"David was in school. David said,","""The teacher caused the papers to be evaluated.""",What does the speaker intend to convey?,The teacher graded the papers directly.,The teacher graded the papers indirectly.,causal,Manner,INTERPRETATION2
66,66,alternative,"Jean was in a car shop. Jean said,","""The engineer designed the machine.""",What does the speaker intend to convey?,The engineer designed the machine directly.,The engineer designed the machine indirectly.,causal,Manner,INTERPRETATION1
67,67,utterance,"Jean was in a car shop. Jean said,","""The engineer caused the machine to be planned.""",What does the speaker intend to convey?,The engineer designed the machine directly.,The engineer designed the machine indirectly.,causal,Manner,INTERPRETATION2
68,68,alternative,"There was a robbery. James said,","""The police officer arrested the suspect.""",What does the speaker intend to convey?,The police officer arrested the suspect directly.,The police officer arrested the suspect indirectly.,causal,Manner,INTERPRETATION1
69,69,utterance,"There was a robbery. James said,","""The police officer caused the suspect to be taken into custody.""",What does the speaker intend to convey?,The police officer arrested the suspect directly.,The police officer arrested the suspect indirectly.,causal,Manner,INTERPRETATION2
70,70,alternative,"Alan was in a hospital. Alan said,","""The therapist counseled the patient.""",What does the speaker intend to convey?,The therapist counseled the patient directly.,The therapist counseled the patient indirectly.,causal,Manner,INTERPRETATION1
71,71,utterance,"Alan was in a hospital. Alan said,","""The therapist caused the patient to receive counseling.""",What does the speaker intend to convey?,The therapist counseled the patient directly.,The therapist counseled the patient indirectly.,causal,Manner,INTERPRETATION2
72,72,alternative,"Patricia was in a construction site. Patricia said,","""The electrician installed the wiring.""",What does the speaker intend to convey?,The electrician installed the wiring directly.,The electrician installed the wiring indirectly.,causal,Manner,INTERPRETATION1
73,73,utterance,"Patricia was in a construction site. Patricia said,","""The electrician caused the wiring to be put in place.""",What does the speaker intend to convey?,The electrician installed the wiring directly.,The electrician installed the wiring indirectly.,causal,Manner,INTERPRETATION2
74,74,alternative,"Jane got the new dress. Jane said,","""The tailor sewed the dress.""",What does the speaker intend to convey?,The tailor sewed the dress directly.,The tailor sewed the dress indirectly.,causal,Manner,INTERPRETATION1
75,75,utterance,"Jane got the new dress. Jane said,","""The tailor caused the dress to be made.""",What does the speaker intend to convey?,The tailor sewed the dress directly.,The tailor sewed the dress indirectly.,causal,Manner,INTERPRETATION2
76,76,alternative,"John was in a park. John said,","""The photographer captured the moment.""",What does the speaker intend to convey?,The photographer captured the moment directly.,The photographer captured the moment indirectly.,causal,Manner,INTERPRETATION1
77,77,utterance,"John was in a park. John said,","""The photographer caused the moment to be recorded.""",What does the speaker intend to convey?,The photographer captured the moment directly.,The photographer captured the moment indirectly.,causal,Manner,INTERPRETATION2
78,78,alternative,"David was in school. David said,","""The teacher encouraged the students.""",What does the speaker intend to convey?,The teacher encouraged the students directly.,The teacher encouraged the students indirectly.,causal,Manner,INTERPRETATION1
79,79,utterance,"David was in school. David said,","""The teacher caused the students to be motivated.""",What does the speaker intend to convey?,The teacher encouraged the students directly.,The teacher encouraged the students indirectly.,causal,Manner,INTERPRETATION2
80,80,alternative,"Alex said,","""The coach trained the team.""",What does the speaker intend to convey?,The coach trained the team directly.,The coach trained the team indirectly.,causal,Manner,INTERPRETATION1
81,81,utterance,"Alex said,","""The coach caused the team to be prepared.""",What does the speaker intend to convey?,The coach trained the team directly.,The coach trained the team indirectly.,causal,Manner,INTERPRETATION2
82,82,alternative,"Alex said,","""The veterinarian treated the animal.""",What does the speaker intend to convey?,The veterinarian treated the animal directly.,The veterinarian treated the animal indirectly.,causal,Manner,INTERPRETATION1
83,83,utterance,"Alex said,","""The veterinarian caused the animal to receive treatment.""",What does the speaker intend to convey?,The veterinarian treated the animal directly.,The veterinarian treated the animal indirectly.,causal,Manner,INTERPRETATION2
84,84,alternative,"Alex said,","""The writer composed the novel.""",What does the speaker intend to convey?,The writer composed the novel directly.,The writer composed the novel indirectly.,causal,Manner,INTERPRETATION1
85,85,utterance,"Alex said,","""The writer caused the novel to be written.""",What does the speaker intend to convey?,The writer composed the novel directly.,The writer composed the novel indirectly.,causal,Manner,INTERPRETATION2
86,86,alternative,"Alex said,","""The pilot flew the plane.""",What does the speaker intend to convey?,The pilot flew the plane directly.,The pilot flew the plane indirectly.,causal,Manner,INTERPRETATION1
87,87,utterance,"Alex said,","""The pilot caused the plane to be in flight.""",What does the speaker intend to convey?,The pilot flew the plane directly.,The pilot flew the plane indirectly.,causal,Manner,INTERPRETATION2
88,88,alternative,"Alex said,","""The painter created the artwork.""",What does the speaker intend to convey?,The painter created the artwork directly.,The painter created the artwork indirectly.,causal,Manner,INTERPRETATION1
89,89,utterance,"Alex said,","""The painter caused the artwork to be made.""",What does the speaker intend to convey?,The painter created the artwork directly.,The painter created the artwork indirectly.,causal,Manner,INTERPRETATION2
90,90,alternative,"Alex said,","""The dentist filled the cavity.""",What does the speaker intend to convey?,The dentist filled the cavity directly.,The dentist filled the cavity indirectly.,causal,Manner,INTERPRETATION1
91,91,utterance,"Alex said,","""The dentist caused the cavity to be repaired.""",What does the speaker intend to convey?,The dentist filled the cavity directly.,The dentist filled the cavity indirectly.,causal,Manner,INTERPRETATION2
92,92,alternative,"Alex said,","""The performer entertained the audience.""",What does the speaker intend to convey?,The performer entertained the audience directly.,The performer entertained the audience indirectly.,causal,Manner,INTERPRETATION1
93,93,utterance,"Alex said,","""The performer caused the audience to be amused.""",What does the speaker intend to convey?,The performer entertained the audience directly.,The performer entertained the audience indirectly.,causal,Manner,INTERPRETATION2
94,94,alternative,"Alex said,","""The banker invested the funds.""",What does the speaker intend to convey?,The banker invested the funds directly.,The banker invested the funds indirectly.,causal,Manner,INTERPRETATION1
95,95,utterance,"Alex said,","""The banker caused the funds to be used for investment.""",What does the speaker intend to convey?,The banker invested the funds directly.,The banker invested the funds indirectly.,causal,Manner,INTERPRETATION2
96,96,alternative,"Alex said,","""The chef seasoned the food.""",What does the speaker intend to convey?,The chef seasoned the food directly.,The chef seasoned the food indirectly.,causal,Manner,INTERPRETATION1
97,97,utterance,"Alex said,","""The chef caused the food to be flavored.""",What does the speaker intend to convey?,The chef seasoned the food directly.,The chef seasoned the food indirectly.,causal,Manner,INTERPRETATION2
98,98,alternative,"Alex said,","""The architect designed the building.""",What does the speaker intend to convey?,The architect designed the building directly.,The architect designed the building indirectly.,causal,Manner,INTERPRETATION1
99,99,utterance,"Alex said,","""The architect caused the building to be planned.""",What does the speaker intend to convey?,The architect designed the building directly.,The architect designed the building indirectly.,causal,Manner,INTERPRETATION2
100,100,alternative,"Alex said,","""The coach instructed the players.""",What does the speaker intend to convey?,The coach instructed the players directly.,The coach instructed the players indirectly.,causal,Manner,INTERPRETATION1
101,101,utterance,"Alex said,","""The coach caused the players to receive instructions.""",What does the speaker intend to convey?,The coach instructed the players directly.,The coach instructed the players indirectly.,causal,Manner,INTERPRETATION2
102,102,alternative,"Alex said,","""The therapist diagnosed the patient.""",What does the speaker intend to convey?,The therapist diagnosed the patient directly.,The therapist diagnosed the patient indirectly.,causal,Manner,INTERPRETATION1
103,103,utterance,"Alex said,","""The therapist caused the patient to be diagnosed.""",What does the speaker intend to convey?,The therapist diagnosed the patient directly.,The therapist diagnosed the patient indirectly.,causal,Manner,INTERPRETATION2
104,104,alternative,"Alex said,","""The mechanic inspected the car.""",What does the speaker intend to convey?,The mechanic inspected the car directly.,The mechanic inspected the car indirectly.,causal,Manner,INTERPRETATION1
105,105,utterance,"Alex said,","""The mechanic caused the car to be examined.""",What does the speaker intend to convey?,The mechanic inspected the car directly.,The mechanic inspected the car indirectly.,causal,Manner,INTERPRETATION2
106,106,alternative,"Alex said,","""The teacher assessed the students.""",What does the speaker intend to convey?,The teacher assessed the students directly.,The teacher assessed the students indirectly.,causal,Manner,INTERPRETATION1
107,107,utterance,"Alex said,","""The teacher caused the students to be evaluated.""",What does the speaker intend to convey?,The teacher assessed the students directly.,The teacher assessed the students indirectly.,causal,Manner,INTERPRETATION2
108,108,alternative,"Alex said,","""The nurse administered the medication.""",What does the speaker intend to convey?,The nurse administered the medication directly.,The nurse administered the medication indirectly.,causal,Manner,INTERPRETATION1
109,109,utterance,"Alex said,","""The nurse caused the medication to be given.""",What does the speaker intend to convey?,The nurse administered the medication directly.,The nurse administered the medication indirectly.,causal,Manner,INTERPRETATION2
110,110,alternative,"Alex said,","""The librarian catalogued the books.""",What does the speaker intend to convey?,The librarian catalogued the books directly.,The librarian catalogued the books indirectly.,causal,Manner,INTERPRETATION1
111,111,utterance,"Alex said,","""The librarian caused the books to be organized.""",What does the speaker intend to convey?,The librarian catalogued the books directly.,The librarian catalogued the books indirectly.,causal,Manner,INTERPRETATION2
112,112,alternative,"Alex said,","""The musician played the instrument.""",What does the speaker intend to convey?,The musician played the instrument directly.,The musician played the instrument indirectly.,causal,Manner,INTERPRETATION1
113,113,utterance,"Alex said,","""The musician caused the instrument to be sounded.""",What does the speaker intend to convey?,The musician played the instrument directly.,The musician played the instrument indirectly.,causal,Manner,INTERPRETATION2
114,114,alternative,"Alex said,","""The gardener pruned the plants.""",What does the speaker intend to convey?,The gardener pruned the plants directly.,The gardener pruned the plants indirectly.,causal,Manner,INTERPRETATION1
115,115,utterance,"Alex said,","""The gardener caused the plants to be trimmed.""",What does the speaker intend to convey?,The gardener pruned the plants directly.,The gardener pruned the plants indirectly.,causal,Manner,INTERPRETATION2
116,116,alternative,"Alex said,","""The researcher conducted the experiment.""",What does the speaker intend to convey?,The researcher conducted the experiment directly.,The researcher conducted the experiment indirectly.,causal,Manner,INTERPRETATION1
117,117,utterance,"Alex said,","""The researcher caused the experiment to be performed.""",What does the speaker intend to convey?,The researcher conducted the experiment directly.,The researcher conducted the experiment indirectly.,causal,Manner,INTERPRETATION2
118,118,alternative,"Alex said,","""The manager supervised the employees.""",What does the speaker intend to convey?,The manager supervised the employees directly.,The manager supervised the employees indirectly.,causal,Manner,INTERPRETATION1
119,119,utterance,"Alex said,","""The manager caused the employees to be overseen.""",What does the speaker intend to convey?,The manager supervised the employees directly.,The manager supervised the employees indirectly.,causal,Manner,INTERPRETATION2
120,120,alternative,"Alex said,","""The plumber fixed the leak.""",What does the speaker intend to convey?,The plumber fixed the leak directly.,The plumber fixed the leak indirectly.,causal,Manner,INTERPRETATION1
121,121,utterance,"Alex said,","""The plumber caused the leak to be repaired.""",What does the speaker intend to convey?,The plumber fixed the leak directly.,The plumber fixed the leak indirectly.,causal,Manner,INTERPRETATION2
122,122,alternative,"Alex said,","""The artist sketched the portrait.""",What does the speaker intend to convey?,The artist sketched the portrait directly.,The artist sketched the portrait indirectly.,causal,Manner,INTERPRETATION1
123,123,utterance,"Alex said,","""The artist caused the portrait to be drawn.""",What does the speaker intend to convey?,The artist sketched the portrait directly.,The artist sketched the portrait indirectly.,causal,Manner,INTERPRETATION2
124,124,alternative,"Alex said,","""The builder constructed the house.""",What does the speaker intend to convey?,The builder constructed the house directly.,The builder constructed the house indirectly.,causal,Manner,INTERPRETATION1
125,125,utterance,"Alex said,","""The builder caused the house to be built.""",What does the speaker intend to convey?,The builder constructed the house directly.,The builder constructed the house indirectly.,causal,Manner,INTERPRETATION2
126,126,alternative,"Alex said,","""The musician composed the song.""",What does the speaker intend to convey?,The musician composed the song directly.,The musician composed the song indirectly.,causal,Manner,INTERPRETATION1
127,127,utterance,"Alex said,","""The musician caused the song to be written.""",What does the speaker intend to convey?,The musician composed the song directly.,The musician composed the song indirectly.,causal,Manner,INTERPRETATION2
128,128,alternative,"Alex said,","""The tailor sewed the dress.""",What does the speaker intend to convey?,The tailor sewed the dress directly.,The tailor sewed the dress indirectly.,causal,Manner,INTERPRETATION1
129,129,utterance,"Alex said,","""The tailor caused the dress to be stitched.""",What does the speaker intend to convey?,The tailor sewed the dress directly.,The tailor sewed the dress indirectly.,causal,Manner,INTERPRETATION2
130,130,alternative,"Alex said,","""The coach motivated the team.""",What does the speaker intend to convey?,The coach motivated the team directly.,The coach motivated the team indirectly.,causal,Manner,INTERPRETATION1
131,131,utterance,"Alex said,","""The coach caused the team to be inspired.""",What does the speaker intend to convey?,The coach motivated the team directly.,The coach motivated the team indirectly.,causal,Manner,INTERPRETATION2
132,132,alternative,"Alex said,","""The artist painted the picture.""",What does the speaker intend to convey?,The artist painted the picture directly.,The artist painted the picture indirectly.,causal,Manner,INTERPRETATION1
133,133,utterance,"Alex said,","""The artist caused the picture to be colored.""",What does the speaker intend to convey?,The artist painted the picture directly.,The artist painted the picture indirectly.,causal,Manner,INTERPRETATION2
134,134,alternative,"Alex said,","""The baker baked the bread.""",What does the speaker intend to convey?,The baker baked the bread directly.,The baker baked the bread indirectly.,causal,Manner,INTERPRETATION1
135,135,utterance,"Alex said,","""The baker caused the bread to be cooked.""",What does the speaker intend to convey?,The baker baked the bread directly.,The baker baked the bread indirectly.,causal,Manner,INTERPRETATION2
136,136,alternative,"Alex said,","""The conductor directed the orchestra.""",What does the speaker intend to convey?,The conductor directed the orchestra directly.,The conductor directed the orchestra indirectly.,causal,Manner,INTERPRETATION1
137,137,utterance,"Alex said,","""The conductor caused the orchestra to be led.""",What does the speaker intend to convey?,The conductor directed the orchestra directly.,The conductor directed the orchestra indirectly.,causal,Manner,INTERPRETATION2
138,138,alternative,"Alex said,","""The athlete trained for the race.""",What does the speaker intend to convey?,The athlete trained for the race directly.,The athlete trained for the race indirectly.,causal,Manner,INTERPRETATION1
139,139,utterance,"Alex said,","""The athlete caused the race to be prepared for.""",What does the speaker intend to convey?,The athlete trained for the race directly.,The athlete trained for the race indirectly.,causal,Manner,INTERPRETATION2
140,140,alternative,"Alex said,","""The photographer took the picture.""",What does the speaker intend to convey?,The photographer took the picture directly.,The photographer took the picture indirectly.,causal,Manner,INTERPRETATION1
141,141,utterance,"Alex said,","""The photographer caused the picture to be captured.""",What does the speaker intend to convey?,The photographer took the picture directly.,The photographer took the picture indirectly.,causal,Manner,INTERPRETATION2
142,142,alternative,"Alex said,","""The carpenter built the table.""",What does the speaker intend to convey?,The carpenter built the table directly.,The carpenter built the table indirectly.,causal,Manner,INTERPRETATION1
143,143,utterance,"Alex said,","""The carpenter caused the table to be constructed.""",What does the speaker intend to convey?,The carpenter built the table directly.,The carpenter built the table indirectly.,causal,Manner,INTERPRETATION2
144,144,alternative,"Alex said,","""The journalist wrote the article.""",What does the speaker intend to convey?,The journalist wrote the article directly.,The journalist wrote the article indirectly.,causal,Manner,INTERPRETATION1
145,145,utterance,"Alex said,","""The journalist caused the article to be written.""",What does the speaker intend to convey?,The journalist wrote the article directly.,The journalist wrote the article indirectly.,causal,Manner,INTERPRETATION2
146,146,alternative,"Alex said,","""The salesperson sold the product.""",What does the speaker intend to convey?,The salesperson sold the product directly.,The salesperson sold the product indirectly.,causal,Manner,INTERPRETATION1
147,147,utterance,"Alex said,","""The salesperson caused the product to be purchased.""",What does the speaker intend to convey?,The salesperson sold the product directly.,The salesperson sold the product indirectly.,causal,Manner,INTERPRETATION2
148,148,alternative,"Alex said,","""The therapist treated the disorder.""",What does the speaker intend to convey?,The therapist treated the disorder directly.,The therapist treated the disorder indirectly.,causal,Manner,INTERPRETATION1
